Регион,№,Филиал,Адрес
город Джизак,2502,JIZZAX,"Жиззах шахар, Қассоблик махалласи, Ш.Рашидов кўчаси 303-ДомПосмотреть на карте ..."
город Джизак,2507,OROM,"г. Джизак, ул.Мустакиллик, дом 31, 43 квПосмотреть на карте ..."
город Джизак,2516,JIZZAX MIKRORAYON,"г.Куляя,кв.32,д.58,квПосмотреть на карте ..."
Зааминский р-н,2503,ZOMIN,"Заминский р-н, ул. Мустақиллик 75Посмотреть на карте ..."
Шароф Рашидовский р-н,2504,STANSIYA JIZ,"Шароф Рашидовский р-н, ул. А.Навоий, 15Посмотреть на карте ..."
Галляаральский р-н,2505,G'ALLAOROL,"Галлаорольский р-н, ул.Мустакиллик, дом 13Посмотреть на карте ..."
Пахтакорский р-н,2506,PAXTAKOR,"Пахтакорский р-н, Алтынколь МФМ, 89-домПосмотреть на карте ..."
Дустликский р-н,2508,DO'STLIK,"Дустлик р-н, ул.Сарыскова, дом 7Посмотреть на карте ..."
Мирзачульский р-н,2509,MIRZACHO'L,"Мирзачульский район, Икбол К. 1 дом, кв. 1Посмотреть на карте ..."
Зарбдарский р-н,2510,ZARBDOR,"Зарбдарский р-н, микрорайон Лалмикор, А376Посмотреть на карте ..."
Бахмальский р-н,2511,BAXMAL,"Бахмальский р-н, ул.Мустакиллик, дом 47Посмотреть на карте ..."
Фаришский р-н,2512,FORISH,"Форишский р-н, ул.ФайзиабадПосмотреть на карте ..."
Янгиабадский р-н,2513,YANGIOBOD,"Янгиабадский р-н, ул.Мустакиллик, дом 12Посмотреть на карте ..."
Зафарабадский р-н,2514,ZAFAROBOD,"Зафарабадский р-н, ул.Мустакиллик, дом 2Посмотреть на карте ..."
Арнасайский р-н,2515,ARNASOY,"Арнасайский р-н, ул.Янгизамон, дом 22Посмотреть на карте ..."
г.Самарканд,3001,M BARAKA SAM,Мирсаид Барака дом-8.Посмотреть на карте ...
г.Самарканд,3002,SAGDIANA,Абу Бакр Розий дом-б/н.Посмотреть на карте ...
г.Самарканд,3013,MOTRID QORASUV,"Массив Қорасув, школа №80Посмотреть на карте ..."
г.Самарканд,3016,SAMARKAND SIYOB,"Г. Самарқанд, ул.Рўдакий 277Посмотреть на карте ..."
г.Самарканд,3023,ULUG'BEK,"г.Самарканд, ул.Тошкент трект, 55 а домПосмотреть на карте ..."
г.Самарканд,3028,SAMARQAND,"г.Самарканд, ул.Абу Райхана, дом 196Посмотреть на карте ..."
г.Самарканд,3043,SAMARQAND YANGIBOZOR,"Г.Самарканд, ул.У. ДжуракуловаПосмотреть на карте ..."
г.Самарканд,3045,FIRDAVSIY,"Г.Самарканд, ул.Гагарина, 155Посмотреть на карте ..."
Акдарьинский р-н,3005,OQDARYO,"Ақдарёнский р-н, ул. А.Темур 27Посмотреть на карте ..."
г.Каттакурган,3006,KATTAQO'RG'ON,"Каттакурганский р-н, улица Қорадарё дом 7ДПосмотреть на карте ..."
г.Каттакурган,3046,KATTAQO'RG'ON (NURXON),"Г.Каттакурган, ул.А. Навой, дом 105Посмотреть на карте ..."
Ургутсский р-н,3010,URGUT,Ургутский районПосмотреть на карте ...
Ургутсский р-н,3026,URGUT YANGIBOZOR BTS,"Ургутский р-н, ул.Амира ТемураПосмотреть на карте ..."
Пайарыкский р-н,3011,PAYARIQ(CHELAK),"г. Челак, ул. У юсуповаПосмотреть на карте ..."
Пайарыкский р-н,3037,NARIMON,"Паярикский р-н, ул.Истикбол, дом 2Посмотреть на карте ..."
Джамбайский р-н,3012,JOMBOY,Самаркандский к-си 19-уйПосмотреть на карте ...
Джамбайский р-н,3025,JOMBOY SENTR,"Жомбайский р-н, ул Ташкентская, дом 150Посмотреть на карте ..."
Джамбайский р-н,3036,FARXOD SHAHARCHA,"Джомбойский р-н, город Фарход, дом 3аПосмотреть на карте ..."
Самаркандский р-н,3014,SELSKIY SAM,"Самаркандкий р-н, Улица; Усмон Юсупов 137-квПосмотреть на карте ..."
Самаркандский р-н,3019,SAMARQAND CITY,"Самаркандский р-н, ул. У.Журакулов, 205 домПосмотреть на карте ..."
Самаркандский р-н,3027,OQMASJID,"Самаркандский р-н, ул.Ташкентская, дом 100Посмотреть на карте ..."
Самаркандский р-н,3038,SUPER,"Самаркандский р-н, ул.НарпаскаяПосмотреть на карте ..."
Самаркандский р-н,3039,EHTIYOT QISMLARI BOZORI,"Самаркандский р-н, рынок запчастейПосмотреть на карте ..."
Пастдаргомский р-н,3015,JUMA SHAHAR,"Пастдарғомский район, ул Амир Темур 32-домПосмотреть на карте ..."
Пастдаргомский р-н,3035,CHARXIN,"Пастдаргамский р-н, ул.Мирзо Улугбека, 2Посмотреть на карте ..."
Тайлякский р-н,3017,TOYLOQ,"Тайлакский р-н, ул. Боғичинор, 2 домПосмотреть на карте ..."
Тайлякский р-н,3044,UKRAJ,"Ургутский р-н, квартал Украдж, дом 91Посмотреть на карте ..."
Нарпайский р-н,3018,NARPAY,"Нарпайский р-н, Мирбозор, Саловат МФЙ 2-домПосмотреть на карте ..."
Нуробадский р-н,3020,NUROBOD,"Нурабадский р-н, ул. Амир Темур, 4 домПосмотреть на карте ..."
Иштихонский р-н,3021,ISHTIXON,"Иштиханский р-н, ул. Мустақиллик, 23Посмотреть на карте ..."
Иштихонский р-н,3041,MITAN,"Иштиханский район,Митан МСГ Намуна, ул. А. Темур 3-домПосмотреть на карте ..."
Булунгурский р-н,3022,BULUNG'UR,"Булунгурский р-н, ул. Узбекистан, 1 домПосмотреть на карте ..."
Булунгурский р-н,3042,ZALINA MOST,"Район Булунгур, ул.Лутфий, дом 1Посмотреть на карте ..."
Каттакурганский р-н,3024,PAYSHANBA KATTAQO'RG'ON,"Каттакоргунский р-н, г Пайшанба, ул А.Навои,Посмотреть на карте ..."
Каттакурганский р-н,3040,KADAN,"Каттакурганский р-н, ул. Алишера НавоиПосмотреть на карте ..."
Пахтаачинский р-н,3029,PAXTACHI,"Пахтачинский р-н, г.ЗиевуддинПосмотреть на карте ..."
Кошрабадский р-н,3030,QO'SHROBOT,"Район Кошробот, ул.Бабура, дом 10Посмотреть на карте ..."
г.Фергана,4001,FARG'ONA,Юксалиш дом-28.Посмотреть на карте ...
г.Фергана,4015,FARG'ONA PVZ,"Ферганский город, Шодиёна МСГ,C.Темур кучаси 227А-уйПосмотреть на карте ..."
г.Фергана,4026,Цум,"город Фергана, улица Мустакиллик, дом 50Посмотреть на карте ..."
г.Фергана,4031,QIRGULI,"г. Фергана, ул.Маргилана 11Посмотреть на карте ..."
г.Коканд,4002,QO`QON (CAVUM),Алишера Навоий дом-64.Посмотреть на карте ...
г.Коканд,4011,QO'QON,"Кокандский2 рн, улица Туркистан,220-квПосмотреть на карте ..."
г.Коканд,4029,QO'QON(YANGIBOZOR),"г. Коканд, ул.Усмана Насира, 68-8-1/7Посмотреть на карте ..."
г.Маргилан,4005,MARG'ILON,"г.Маргилон светлое мфй ул. Независимости, 439, 3-магазинПосмотреть на карте ..."
Ташлакский р-н,4008,TOSHLOQ,"Ташлакский рн, улица: Давон 53-квПосмотреть на карте ..."
Ташлакский р-н,4034,TOSHLOQ MARKAZ,ул. А.Наваий дом 172Посмотреть на карте ...
Бешарыкский р-н,4009,BESHARIQ,Бешарикский раён ул. Олтин водий дом 190Посмотреть на карте ...
Бешарыкский р-н,4035,BESHARIQ PEREEZD,Олтин водий 41Посмотреть на карте ...
Узбекистанский р-н,4012,O'ZBEKISTON,"Яйпанский город, улица Туркистон 5Посмотреть на карте ..."
Узбекистанский р-н,4036,O'ZBEKISTON AVG'ONBOG',"Узбекистанский р-н, Аванбог МФОПосмотреть на карте ..."
Алтыарыкский р-н,4013,OLTIARIQ,"Oltiariq tumani chinor tagi koʻchasi 2 uy,Aloqa bank roʻparasiПосмотреть на карте ..."
Алтыарыкский р-н,4037,XAMZA,"Олтиярыкский р-н, ул.Обода махалли, дом 1Посмотреть на карте ..."
Кувинский р-н,4014,QUVA,"Quva tumani,O'zbek ko'chasi 41-uyПосмотреть на карте ..."
Куштепинский р-н,4016,QO'SHTEPA,"Қўштепинский р-н, ул. Мустақиллик, 76-А домПосмотреть на карте ..."
Багдадский р-н,4017,BOG'DOD,"Багдадский р-н, ул Алмаз, 115 домПосмотреть на карте ..."
Багдадский р-н,4033,BOG'DOD SENTR,ул.ОрзуПосмотреть на карте ...
Риштанский р-н,4018,RISHTON,"Риштанский р-н, ул. Ферганa, 9 домПосмотреть на карте ..."
Ферганский р-н,4019,FARG'ONA TUMAN,"Ферганский р-н, ул Маргилон, 49 домПосмотреть на карте ..."
Учкуприкский р-н,4020,UCHKO'PRIK,"Учкоприкский р-н, ул Наврузшоx,Посмотреть на карте ..."
Учкуприкский р-н,4028,YANGIBOZOR(SALANG),"Учкуприкский р-н, ул.СалангаПосмотреть на карте ..."
Бувайдинский р-н,4021,BUVAYDA (YANGIQO'RG'ON),"Бувайдинский р-н, Яникурган кругПосмотреть на карте ..."
Бувайдинский р-н,4032,BUVAYDA 2,"Бувайдинский р-н, ул.Гузара, дом 7Посмотреть на карте ..."
Фуркатский р-н,4022,FURQAT,"Фуркатский р-н, ул Мустакиллик, 18 домПосмотреть на карте ..."
г.Кувасай,4023,QUVASOY,"г.Кувасой, ул.Мустакиллик 7а домПосмотреть на карте ..."
Дангаринский р-н,4024,DANG'ARA,"Дангаринский р-н, ул.Саноат, дом 1Посмотреть на карте ..."
Язьяванский р-н,4025,YOZYOVON,"Язъяванский р-н, ул.Аль-ФергонаПосмотреть на карте ..."
Туракурганский р-н,5007,TO'RAQO'RG'ON,Туракурганский район. улица Ал-Фаргоний дом 56 АПосмотреть на карте ...
Касансайский р-н,5008,KOSONSOY,Касансайский р-н. ул Гулабад Ор-р: ВатанпарварПосмотреть на карте ...
г.Наманган,5009,NAMANGAN,"Наманганский город,6-микрораён, улица: Ғалаба  2-квПосмотреть на карте ..."
г.Наманган,5014,NAMANGAN LOLA,"Наманганский город,Лола МСГ, улица: Бобуршох 6в-домПосмотреть на карте ..."
г.Наманган,5017,SARDOBA NAMAN,"г.Наманган, ул.А.Навоий, 10 домПосмотреть на карте ..."
г.Наманган,5021,CHORSU,"г.Наманган, ул.Уйчи, дом 2Посмотреть на карте ..."
Чустский р-н,5010,CHUST,"г.Чуст, ул.Ипак йўли 7Посмотреть на карте ..."
Учкурганский р-н,5011,UCHQO'RG'ON,"Uchqo'rg'on tumani, Do'stlik ko'chasi 34-uyПосмотреть на карте ..."
Уйчинский р-н,5012,UYCHI,Namangan viloyati Uychi tumani Beruniy ko'chasi 10-uy. Mo'ljal Soliq va Moliya ro'parasiПосмотреть на карте ...
Мингбулакский р-н,5013,MINGBULOQ,Mingbuloq IIBПосмотреть на карте ...
Янгикурганский р-н,5015,YANGIQO'RG'ON,"Янгикурганский р-н,улица Чорток 11-домПосмотреть на карте ..."
Чартакский р-н,5016,CHORTOQ,"Чартакский р-н, ул. Наманган, 4Посмотреть на карте ..."
Папский р-н,5018,POP,"Попский р-н, ул Шаббода, 27 домПосмотреть на карте ..."
Нарынский р-н,5019,NORIN,"Нарынский р-н, ул.Беруний, дом 20Посмотреть на карте ..."
Нарынский р-н,5022,NORIN 2,"Нарынский р-н, ул.Сой Бойи,Посмотреть на карте ..."
Наманганский р-н,5020,NAMANGAN TUMAN,"Наманганский р-н, ул.Нурафшона, дом 50Посмотреть на карте ..."
г.Андижан,6001,AVTOVOKZAL AND,ул. Амира Темура дом-13.Посмотреть на карте ...
г.Андижан,6006,ESKI SHAHAR AND,"г. Андижан, село Мустакиллик Шох  8 и 2/10Посмотреть на карте ..."
г.Андижан,6011,ANDIJON 1-MKR,"Андижон шахар,1-микрорайон 8-уй Ориентир Фуркат больницасиПосмотреть на карте ..."
г.Андижан,6017,ANDIJON 2-MIKRARAYON,"г. Андижан, 2-й микрорайон, улица Нодира, 1БПосмотреть на карте ..."
г.Андижан,6034,ANDIJON 3-MKR,"г.Андижан, ул.Бабур, дом 2аПосмотреть на карте ..."
Избасканский р-н,6005,IZBOSKAN,"Избосканский р-н, г.Пойтуг, ул. Нақшбанд, 5 домПосмотреть на карте ..."
Избасканский р-н,6028,CHUVAMA,"Избосканский р-н, село Чувама, Топчинор 10Посмотреть на карте ..."
Пахтаабадский р-н,6007,PAXTAOBOD,"Пахтабадский р-н, ул.Амира Темура, 70Посмотреть на карте ..."
